SOURCE_ASSET_KEY,TARGET_ASSET_KEY
clickhouse/table/_ingestion__analytics_events,clickhouse/materialized_view/events__backend__events_mv_v2
clickhouse/table/_ingestion__analytics_events,clickhouse/materialized_view/sre__backend_story_events_mv
clickhouse/table/_ingestion__frontend_events,clickhouse/materialized_view/events__frontend__events_mv_v3
clickhouse/table/_ingestion__frontend_events,clickhouse/materialized_view/sre__frontend_story_events_mv
clickhouse/table/ads__backend__events_v2,clickhouse/materialized_view/ads__backend__events_mv_v2
clickhouse/table/ads__backend__events_v2,clickhouse/view/ads__backend__events_view
clickhouse/table/ads__frontend__events_v3,clickhouse/materialized_view/ads__frontend__events_mv_v3
clickhouse/table/ads__frontend__events_v3,clickhouse/view/ads__frontend__events_view
clickhouse/table/events__backend__events_v2,clickhouse/materialized_view/ads__backend__events_mv_v2
clickhouse/table/events__backend__events_v2,clickhouse/materialized_view/events__backend__events_mv_v2
clickhouse/table/events__backend__events_v2,clickhouse/materialized_view/logistics__shipment_updates_mv_v2
clickhouse/table/events__backend__events_v2,clickhouse/view/events__backend__events_view
clickhouse/table/events__frontend__events,clickhouse/view/events__example
clickhouse/table/events__frontend__events_v3,clickhouse/materialized_view/ads__frontend__events_mv_v3
clickhouse/table/events__frontend__events_v3,clickhouse/materialized_view/events__frontend__events_mv_v3
clickhouse/table/events__frontend__events_v3,clickhouse/view/events__frontend__events_view
clickhouse/table/logistics__shipment_updates_v2,clickhouse/materialized_view/logistics__shipment_updates_mv_v2
clickhouse/table/logistics__shipment_updates_v2,clickhouse/view/logistics__shipment_updates_view
clickhouse/table/sre__e2e_slo_story_events,clickhouse/materialized_view/sre__backend_story_events_mv
clickhouse/table/sre__e2e_slo_story_events,clickhouse/materialized_view/sre__frontend_story_events_mv
clickhouse/table/sre__e2e_slo_story_events,clickhouse/view/sre__e2e_slo_story_events_view
compliance/addresses/nullify_history_table,compliance/mark_users_nullified
compliance/bulk_imported_listings/nullify_history_table,compliance/mark_users_nullified
compliance/cancellation_requests/nullify_history_table,compliance/mark_users_nullified
compliance/cards/nullify_history_table,compliance/mark_users_nullified
compliance/enqueue_users_to_nullify,compliance/addresses/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/bulk_imported_listings/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/cancellation_requests/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/cards/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/invoices/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/mark_users_nullified
compliance/enqueue_users_to_nullify,compliance/orders/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/payouts/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/pickup_details/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/quotations/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/rating_answers/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/seller_application_states/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/tax_transactions/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/ts_addresses/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/user_device/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/user_profiles/nullify_history_table
compliance/enqueue_users_to_nullify,compliance/users/nullify_history_table
compliance/invoices/nullify_history_table,compliance/mark_users_nullified
compliance/orders/nullify_history_table,compliance/mark_users_nullified
compliance/payouts/nullify_history_table,compliance/mark_users_nullified
compliance/pickup_details/nullify_history_table,compliance/mark_users_nullified
compliance/quotations/nullify_history_table,compliance/mark_users_nullified
compliance/rating_answers/nullify_history_table,compliance/mark_users_nullified
compliance/seller_application_states/nullify_history_table,compliance/mark_users_nullified
compliance/tax_transactions/nullify_history_table,compliance/mark_users_nullified
compliance/ts_addresses/nullify_history_table,compliance/mark_users_nullified
compliance/user_device/nullify_history_table,compliance/mark_users_nullified
compliance/user_profiles/nullify_history_table,compliance/mark_users_nullified
compliance/users/nullify_history_table,compliance/mark_users_nullified
nearest_neighbors/dsml-features-seller-sgns/seller_nearest_neighbors,snowflake/prod/sagemaker/dsml_features__seller_sgns_nearest_neighbors
online_analytics_create_disco_products__seller_gmv_history_table,online_analytics_ingest_disco_products__seller_gmv_history_from_s3
online_analytics_create_disco_products__seller_gmv_history_view,online_analytics_delete_disco_products__seller_gmv_history_table
online_analytics_create_disco_products__seller_lifetime_metrics_table,online_analytics_ingest_disco_products__seller_lifetime_metrics_from_s3
online_analytics_create_disco_products__seller_lifetime_metrics_view,online_analytics_delete_disco_products__seller_lifetime_metrics_table
online_analytics_create_laser__sdb_tas_orders_table,online_analytics_ingest_laser__sdb_tas_orders_from_s3
online_analytics_create_laser__sdb_tas_orders_view,online_analytics_delete_laser__sdb_tas_orders_table
online_analytics_create_seller_dash__buyer_metrics_table,online_analytics_ingest_seller_dash__buyer_metrics_from_s3
online_analytics_create_seller_dash__buyer_metrics_view,online_analytics_delete_seller_dash__buyer_metrics_table
online_analytics_create_ts__account_health_metrics_day_table,online_analytics_ingest_ts__account_health_metrics_day_from_s3
online_analytics_create_ts__account_health_metrics_day_view,online_analytics_delete_ts__account_health_metrics_day_table
online_analytics_ingest_disco_products__seller_gmv_history_from_s3,online_analytics_create_disco_products__seller_gmv_history_view
online_analytics_ingest_disco_products__seller_lifetime_metrics_from_s3,online_analytics_create_disco_products__seller_lifetime_metrics_view
online_analytics_ingest_laser__sdb_tas_orders_from_s3,online_analytics_create_laser__sdb_tas_orders_view
online_analytics_ingest_seller_dash__buyer_metrics_from_s3,online_analytics_create_seller_dash__buyer_metrics_view
online_analytics_ingest_ts__account_health_metrics_day_from_s3,online_analytics_create_ts__account_health_metrics_day_view
online_analytics_unload_disco_products__seller_gmv_history_to_s3,online_analytics_create_disco_products__seller_gmv_history_table
online_analytics_unload_disco_products__seller_lifetime_metrics_to_s3,online_analytics_create_disco_products__seller_lifetime_metrics_table
online_analytics_unload_laser__sdb_tas_orders_to_s3,online_analytics_create_laser__sdb_tas_orders_table
online_analytics_unload_seller_dash__buyer_metrics_to_s3,online_analytics_create_seller_dash__buyer_metrics_table
online_analytics_unload_ts__account_health_metrics_day_to_s3,online_analytics_create_ts__account_health_metrics_day_table
opensearch/index/dbt_trigger_dbt_custom_indexing_es_inventory_listings_v1_spine,opensearch/index/index_build_mktplace_listings_prod_1_inventory_listings_inventory_listings_v1
opensearch/index/dbt_trigger_dbt_custom_indexing_es_listings_v9_rds,opensearch/index/index_build_es_domain_search3_disco_search_listings_v9
opensearch/index/dbt_trigger_dbt_custom_indexing_es_listings_v9_sideload,opensearch/index/dbt_trigger_run_laser_indexing_es__listings_v9_side_load_laser_compound_key_to_dynamo
opensearch/index/dbt_trigger_dbt_custom_indexing_es_listings_v9_sideload,opensearch/index/index_setup_es_domain_search3_disco_search_listings_v9
opensearch/index/dbt_trigger_dbt_custom_indexing_es_listings_v9_spine,opensearch/index/dbt_trigger_dbt_custom_indexing_es_listings_v9_rds
opensearch/index/dbt_trigger_dbt_custom_indexing_es_listings_v9_spine,opensearch/index/index_build_es_domain_search3_disco_search_listings_v9
opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_index,opensearch/index/index_build_es_domain_search3_experimental_livestreams_v3
opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_sideload,opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_index
opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_sideload,opensearch/index/index_build_es_domain_search3_experimental_livestreams_v3
opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_spine,opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_sideload
opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_spine,opensearch/index/index_build_es_domain_search3_experimental_livestreams_v3
opensearch/index/dbt_trigger_dbt_custom_indexing_es_orders_v1_spine,opensearch/index/index_build_mktplace_listings_prod_1_baseprime_orders_v1
opensearch/index/dbt_trigger_dbt_custom_indexing_es_queries_v2_index,opensearch/index/index_build_es_domain_search1_base_queries_v2
opensearch/index/dbt_trigger_dbt_custom_indexing_es_queries_v2_sideload,opensearch/index/dbt_trigger_run_laser_indexing_es__queries_v2_side_load_laser_compound_key_to_dynamo
opensearch/index/dbt_trigger_dbt_custom_indexing_es_queries_v2_sideload,opensearch/index/index_setup_es_domain_search1_base_queries_v2
opensearch/index/dbt_trigger_dbt_custom_indexing_es_queries_v2_spine,opensearch/index/dbt_trigger_dbt_custom_indexing_es_queries_v2_index
opensearch/index/dbt_trigger_dbt_custom_indexing_es_queries_v2_spine,opensearch/index/index_build_es_domain_search1_base_queries_v2
opensearch/index/dbt_trigger_dbt_custom_indexing_es_shipments_v1_spine,opensearch/index/index_build_mktplace_listings_prod_1_baseprime_shipments_v1
opensearch/index/dbt_trigger_dbt_custom_indexing_es_sold_listings_v1_spine,opensearch/index/index_build_mktplace_listings_prod_1_sold_listings_sold_listings_v1
opensearch/index/dbt_trigger_dbt_custom_indexing_es_users_v1_index,opensearch/index/index_build_es_domain_search1_base_users_v1
opensearch/index/dbt_trigger_dbt_custom_indexing_es_users_v1_sideload,opensearch/index/dbt_trigger_run_laser_indexing_es__users_v1_side_load_laser_compound_key_to_dynamo
opensearch/index/dbt_trigger_dbt_custom_indexing_es_users_v1_sideload,opensearch/index/index_setup_es_domain_search1_base_users_v1
opensearch/index/dbt_trigger_dbt_custom_indexing_es_users_v1_spine,opensearch/index/dbt_trigger_dbt_custom_indexing_es_users_v1_index
opensearch/index/dbt_trigger_dbt_custom_indexing_es_users_v1_spine,opensearch/index/index_build_es_domain_search1_base_users_v1
opensearch/index/dbt_trigger_run_laser_indexing_es__listings_v9_side_load_laser_compound_key_to_dynamo,opensearch/index/index_setup_es_domain_search3_disco_search_listings_v9
opensearch/index/dbt_trigger_run_laser_indexing_es__queries_v2_side_load_laser_compound_key_to_dynamo,opensearch/index/index_setup_es_domain_search1_base_queries_v2
opensearch/index/dbt_trigger_run_laser_indexing_es__users_v1_side_load_laser_compound_key_to_dynamo,opensearch/index/index_setup_es_domain_search1_base_users_v1
opensearch/index/dbt_wait_for_dbt_build_t1_t2_1h,opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_spine
opensearch/index/index_setup_es_domain_search1_base_queries_v2,opensearch/index/dbt_trigger_dbt_custom_indexing_es_queries_v2_spine
opensearch/index/index_setup_es_domain_search1_base_queries_v2,opensearch/index/index_build_es_domain_search1_base_queries_v2
opensearch/index/index_setup_es_domain_search1_base_users_v1,opensearch/index/dbt_trigger_dbt_custom_indexing_es_users_v1_spine
opensearch/index/index_setup_es_domain_search1_base_users_v1,opensearch/index/index_build_es_domain_search1_base_users_v1
opensearch/index/index_setup_es_domain_search3_base_tcg_pokemon_cards,opensearch/index/index_build_es_domain_search3_base_tcg_pokemon_cards
opensearch/index/index_setup_es_domain_search3_disco_search_listings_v9,opensearch/index/dbt_trigger_dbt_custom_indexing_es_listings_v9_spine
opensearch/index/index_setup_es_domain_search3_disco_search_listings_v9,opensearch/index/index_build_es_domain_search3_disco_search_listings_v9
opensearch/index/index_setup_es_domain_search3_experimental_livestreams_v3,opensearch/index/dbt_trigger_dbt_custom_indexing_es_livestreams_v3_spine
opensearch/index/index_setup_es_domain_search3_experimental_livestreams_v3,opensearch/index/dbt_wait_for_dbt_build_t1_t2_1h
