ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
snowflake/dbt/products/laser__ads_price,dbt__products__laser_unloads,t3,Ads,snowflake
snowflake/dbt/products/laser__ads_rank_advertiser_by_follow,dbt__products__laser_unloads,t3,Ads,snowflake
snowflake/dbt/products/laser__ads_rank_advertiser_by_view,dbt__products__laser_unloads,t3,Ads,snowflake
snowflake/dbt/products/laser__cs_seller_buyer_history,dbt__products__laser_unloads,t1,CustomerExperienceEngineering,snowflake
snowflake/dbt/products/laser__cs_seller_daily_stats,dbt__products__laser_unloads,t1,CustomerExperienceEngineering,snowflake
snowflake/dbt/products/laser__disco_features_seller_sgns_embeddings,dbt__products__laser_unloads,t2,CoreML,snowflake
snowflake/dbt/products/laser__disco_tag_recommendations,dbt__products__laser_unloads,t1,Discovery,snowflake
snowflake/dbt/products/laser__first_ls_sale_date,dbt__products__laser,t1,Discovery,snowflake
snowflake/dbt/products/laser__first_ls_sale_date_unload,dbt__products__laser_unloads,t1,Discovery,snowflake
snowflake/dbt/products/laser__followed_sellers_with_auctions,dbt__products__laser,t2,Marketplace,snowflake
snowflake/dbt/products/laser__followed_sellers_with_listings,dbt__products__laser,t2,Marketplace,snowflake
snowflake/dbt/products/laser__high_value_buyers,dbt__products__laser_unloads,t2,Growth,snowflake
snowflake/dbt/products/laser__invalid_livestreams,dbt__products__laser,t2,CoreML,snowflake
snowflake/dbt/products/laser__invalid_livestreams_unload,dbt__products__laser_unloads,t2,CoreML,snowflake
snowflake/dbt/products/laser__listings_index_source,dbt__products__laser,t2,CoreML,snowflake
snowflake/dbt/products/laser__livestream_listing_attribute_index,dbt__products__laser,t1,Discovery,snowflake
snowflake/dbt/products/laser__livestream_listing_attribute_index_unload,dbt__products__laser_unloads,t1,Discovery,snowflake
snowflake/dbt/products/laser__logistics_shipment_updates,dbt__products__laser_unloads,t1,PaymentsAndLogistics,snowflake
